Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"R5,R3,R4,R8,R9,R10",R_0603,6,100k,
2,R1,R_0603,1,1M,
3,"R2,R6,R7,R15,R16,R17,R21,R23,R24",R_0603,9,10k,
4,U1,DFN-10-1EP_2x3mm_Pitch0.5mm,1,TPS62177,296-41856-1-ND
5,"D1,D2",SOT-23,2,MMBD717LT1G,DB3X313J0LCT-ND
6,"LED1,LED2",LED_WS2812B-PLCC4,2,WS2812B,
7,"Q2,Q4,Q5",SOT-23,3,2N7002,2N7002LT1GOSCT-ND
8,R11,R_0603,1,470k,
9,R12,R_0603,1,18k,
10,"R13,R14,R25,R26",R_0603,4,0R,
11,"R18,R19,R20",R_0603,3,1k,
12,R22,R_0603,1,390k,
13,P2,UG_62864,1,UG_62864,
14,ROT_ENC1,ROT_ENC_backside,1,AB2_ROTARY_ENCODER_W_SW,
15,"SW1,SW2,SW3",switch3x6_smd,3,SW_PUSH,
16,X1,MiniDin-7,1,MINI_DIN_7,
17,L1,VLS4012ET-100M,1,VLS4012ET-100M,445-6681-1-ND
18,"U3,U5",VSSOP-8,2,74LVC3G14,296-13006-1-ND
19,"C1,C11,C14,C15",C_0805,4,2u2,490-10744-1-ND
20,"C2,C10,C12,C13",C_0805,4,1u,1276-3009-1-ND
21,"C3,C4,C6,C7,C8,C9,C16,C17",C_0603,8,100n,311-1088-1-ND
22,C5,C_0805,1,22u,490-9951-1-ND
23,U2,QFN-28-1EP_5x5mm_Pitch0.5mm,1,CP2102,336-1160-1-ND
24,Q1,SOT-23-6,1,DMC204010R,DMC204010RCT-ND
25,P3,Pin_Header_Straight_1x04,1,CONN_01X04,
26,"P4,P6",Pin_Header_Straight_1x02,2,CONN_01X02,
27,P1,conn_usb_B_micro_smd-backside,1,USB_OTG,
28,U4,ESP-12E_SideMounted,1,ESP-12E,
29,P5,Pin_Header_Straight_1x08,1,CONN_01X08,
